player,player_full_name,team_name,team_name2,mpg,fgp,fg3p,fg3a,rpg,apg,tog,ppg,weight,height,cluster
A. Bacot,Armando Bacot,North Carolina,UNC,24.4838709677419,0.461538461538462,0,0,8.16129032258065,1.25806451612903,1.67741935483871,9.54838709677419,232,82,4
A. Dawes,Al-Amir Dawes,Clemson,Clemson,29.7741935483871,0.381147540983607,0.317880794701987,0.618852459016393,2.80645161290323,2.45161290322581,2.51612903225806,9,180,74,1
A. Harris,Anthony Harris,North Carolina,UNC,12,0.545454545454545,0.428571428571429,0.318181818181818,1,0.6,0.4,6.8,190,76,3
A. Hemenway,Alex Hemenway,Clemson,Clemson,12.2,0.5,0.476190476190476,0.84,0.866666666666667,0.4,0.4,4.8,180,75,3
A. O'Connell,Alex O'Connell,Duke,Duke,13.3103448275862,0.405405405405405,0.272727272727273,0.52027027027027,2.24137931034483,0.758620689655172,0.758620689655172,5.24137931034483,190,78,3
A. Platek,Andrew Platek,North Carolina,UNC,17.9333333333333,0.358974358974359,0.226415094339623,0.452991452991453,2.06666666666667,1.4,0.633333333333333,3.73333333333333,200,76,3
A. Polite,Anthony Polite,Florida State,Florida State,19.8064516129032,0.406451612903226,0.354166666666667,0.619354838709677,2.93548387096774,1.12903225806452,1.16129032258065,5.7741935483871,215,78,3
A. Price,Asanti Price,Georgia Tech,Georgia Tech,15,0.30188679245283,0.133333333333333,0.566037735849057,2.14285714285714,0.714285714285714,1.21428571428571,2.85714285714286,177,77,3
A. Simms,Aamir Simms,Clemson,Clemson,31.6,0.474402730375427,0.4,0.290102389078498,7.23333333333333,2.6,2.2,13.0333333333333,240,80,4
A. Toney,Au'Diese Toney,Pittsburgh,Pitt,30.3333333333333,0.466960352422908,0.333333333333333,0.290748898678414,4.76666666666667,1.16666666666667,1.16666666666667,9.6,210,78,4
A. Walker,Anthony Walker,Miami,Miami,12.32,0.405063291139241,0.157894736842105,0.240506329113924,2.12,0.2,0.6,3.28,210,81,2
A. White,Andrien White,Wake Forest,Wake Forest,24.2903225806452,0.379912663755459,0.375838926174497,0.650655021834061,3.64516129032258,1.38709677419355,1.90322580645161,9,200,75,3
B. Beverly,Braxton Beverly,NC State,NC State,24.84375,0.388888888888889,0.373134328358209,0.676767676767677,1.5625,1.15625,0.78125,7.09375,180,72,3
B. Boeheim,Buddy Boeheim,Syracuse,Syracuse,35.5625,0.407834101382489,0.370229007633588,0.603686635944701,1.90625,2.15625,1.46875,15.34375,195,78,1
B. Childress,Brandon Childress,Wake Forest,Wake Forest,35.4333333333333,0.403899721448468,0.324675324675325,0.428969359331476,3,4.6,2.93333333333333,15.5666666666667,195,72,1
B. Key,Braxton Key,Virginia,UVA,33.5555555555556,0.435344827586207,0.184615384615385,0.280172413793103,7.37037037037037,1.81481481481482,1.77777777777778,9.85185185185185,230,80,4
B. Koprivica,Balsa Koprivica,Florida State,Florida State,10.2962962962963,0.698630136986301,0,0,2.40740740740741,0.296296296296296,0.62962962962963,4.7037037037037,260,85,2
B. Parham,Bubba Parham,Georgia Tech,Georgia Tech,26.3666666666667,0.361111111111111,0.30952380952381,0.583333333333333,2.43333333333333,1.8,1.4,5.13333333333333,160,70,3
B. Robinson,Brandon Robinson,North Carolina,UNC,30.1666666666667,0.413333333333333,0.36875,0.711111111111111,3.16666666666667,2.375,1.625,11.7916666666667,173,77,1
B. Sidibe,Bourama Sidibe,Syracuse,Syracuse,23.96875,0.692307692307692,0,0,7.5625,0.1875,0.9375,6.03125,210,82,2
C. Anthony,Cole Anthony,North Carolina,UNC,35,0.378048780487805,0.343283582089552,0.408536585365854,5.90476190476191,4.0952380952381,3.47619047619048,18.047619047619,190,75,1
C. Brown,Chaundee Brown,Wake Forest,Wake Forest,28.1739130434783,0.455813953488372,0.322033898305085,0.274418604651163,6.47826086956522,1.39130434782609,1.56521739130435,12.1304347826087,220,77,4
C. Felder,CJ Felder,Boston College,Boston College,20.4838709677419,0.43312101910828,0.161290322580645,0.197452229299363,3.90322580645161,0.645161290322581,1.25806451612903,5.64516129032258,230,79,2
C. Hunter,Chase Hunter,Clemson,Clemson,19.3333333333333,0.377777777777778,0.304347826086957,0.511111111111111,1,1.55555555555556,1.33333333333333,5.33333333333333,200,75,3
C. Keeling,Christian Keeling,North Carolina,UNC,18.84375,0.427083333333333,0.326086956521739,0.239583333333333,2.75,0.59375,1.0625,6.34375,180,75,3
C. Lykes,Chris Lykes,Miami,Miami,30.0769230769231,0.432098765432099,0.380597014925373,0.41358024691358,2.11538461538462,2.38461538461538,2.07692307692308,15.4230769230769,157,67,1
C. Morsell,Casey Morsell,Virginia,UVA,21.7666666666667,0.27710843373494,0.176470588235294,0.512048192771084,1.7,0.733333333333333,0.866666666666667,3.96666666666667,195,75,3
C. Scott,Curran Scott,Clemson,Clemson,20.1290322580645,0.369127516778524,0.263888888888889,0.483221476510067,1.74193548387097,1.41935483870968,1.09677419354839,5.70967741935484,205,76,3
C. Stanley,Cassius Stanley,Duke,Duke,27.448275862069,0.474074074074074,0.36046511627907,0.318518518518519,4.86206896551724,1.03448275862069,1.89655172413793,12.551724137931,193,78,4
C. Trapp,Clyde Trapp,Clemson,Clemson,25.6190476190476,0.366666666666667,0.261538461538462,0.541666666666667,3.9047619047619,2.52380952380952,1.66666666666667,6,194,76,3
C.J. Bryce,C.J. Bryce,NC State,NC State,33.6071428571429,0.440625,0.333333333333333,0.290625,6.25,2.10714285714286,2.21428571428571,13.3214285714286,210,77,4
D. Daniels,Devon Daniels,NC State,NC State,31.0625,0.470059880239521,0.32183908045977,0.260479041916168,5.28125,2.21875,2.0625,12.6875,205,77,4
D. Funderburk,DJ Funderburk,NC State,NC State,26.0333333333333,0.609442060085837,0.222222222222222,0.0772532188841202,6.13333333333333,0.266666666666667,1.43333333333333,12.7666666666667,225,82,4
D. Gak,Deng Gak,Miami,Miami,12,0.625,0,0,2,0.142857142857143,0.285714285714286,1.71428571428571,211,82,2
D. Goodwin,Dane Goodwin,Notre Dame,Notre Dame,26.125,0.432525951557093,0.376811594202899,0.477508650519031,3.84375,1.3125,0.8125,10.84375,200,78,3
D. Johnson,David Johnson,Louisville,Louisville,16,0.493055555555556,0.217391304347826,0.159722222222222,2.81481481481482,2.77777777777778,1.88888888888889,6.33333333333333,210,77,3
D. Olejniczak,Dominik Olejniczak,Florida State,Florida State,10.6896551724138,0.611111111111111,0,0,2.27586206896552,0.137931034482759,0.896551724137931,4.24137931034483,260,84,2
D. Perry,Darius Perry,Louisville,Louisville,19.4838709677419,0.391025641025641,0.388888888888889,0.461538461538462,1.51612903225806,2.54838709677419,1.35483870967742,5.2258064516129,195,74,3
D. Sutton,Dwayne Sutton,Louisville,Louisville,31.4838709677419,0.505263157894737,0.353658536585366,0.431578947368421,8.19354838709677,1.74193548387097,1,9.09677419354839,220,77,4
D. Thornton,Derryck Thornton,Boston College,Boston College,31.448275862069,0.375757575757576,0.26271186440678,0.357575757575758,2.82758620689655,3.41379310344828,3.3448275862069,12.6551724137931,195,75,1
D. Vasiljevic,Dejan Vasiljevic,Miami,Miami,33.8387096774194,0.408284023668639,0.344339622641509,0.627218934911243,4.19354838709677,1.03225806451613,0.870967741935484,13.1935483870968,184,75,3
D. Vassell,Devin Vassell,Florida State,Florida State,28.7666666666667,0.489795918367347,0.415094339622642,0.360544217687075,5.06666666666667,1.63333333333333,0.766666666666667,12.6666666666667,180,78,4
E. Cole,Evan Cole,Georgia Tech,Georgia Tech,12.3846153846154,0.474226804123711,0.2,0.206185567010309,3.65384615384615,0.346153846153846,0.769230769230769,4.46153846153846,226,82,2
E. Hamilton,Eric Hamilton,Pittsburgh,Pitt,16.6333333333333,0.478632478632479,0,0.0256410256410256,4.3,0.166666666666667,0.633333333333333,5.26666666666667,250,81,2
E. Hughes,Elijah Hughes,Syracuse,Syracuse,36.71875,0.425806451612903,0.34061135371179,0.49247311827957,4.9375,3.40625,2.28125,19.03125,215,78,1
G. Brooks,Garrison Brooks,North Carolina,UNC,35.0322580645161,0.536458333333333,0.285714285714286,0.0182291666666667,8.58064516129032,1.87096774193548,2.03225806451613,17.1935483870968,235,81,4
H. Beverly,Harlond Beverly,Miami,Miami,19.9032258064516,0.404761904761905,0.21875,0.304761904761905,2.29032258064516,2.29032258064516,2.2258064516129,7.2258064516129,185,76,3
H. Cattoor,Hunter Cattoor,Virginia Tech,Virginia Tech,20.2758620689655,0.395973154362416,0.379310344827586,0.778523489932886,2.48275862068966,1.10344827586207,0.551724137931035,6.03448275862069,205,75,3
H. Tyson,Hunter Tyson,Clemson,Clemson,13.5806451612903,0.4453125,0.321428571428571,0.65625,2.96774193548387,0.354838709677419,0.483870967741936,5.48387096774194,211,80,3
I. Massoud,Ismael Massoud,Wake Forest,Wake Forest,12.2258064516129,0.385245901639344,0.397590361445783,0.680327868852459,2.03225806451613,0.290322580645161,0.741935483870968,4.80645161290323,200,80,3
