player,player_full_name,team_name,team_name2,cluster,stat,value
A. Bacot,Armando Bacot,North Carolina,UNC,4,mpg,24.4838709677419
A. Dawes,Al-Amir Dawes,Clemson,Clemson,1,mpg,29.7741935483871
A. Harris,Anthony Harris,North Carolina,UNC,3,mpg,12
A. Hemenway,Alex Hemenway,Clemson,Clemson,3,mpg,12.2
A. O'Connell,Alex O'Connell,Duke,Duke,3,mpg,13.3103448275862
A. Platek,Andrew Platek,North Carolina,UNC,3,mpg,17.9333333333333
A. Polite,Anthony Polite,Florida State,Florida State,3,mpg,19.8064516129032
A. Price,Asanti Price,Georgia Tech,Georgia Tech,3,mpg,15
A. Simms,Aamir Simms,Clemson,Clemson,4,mpg,31.6
A. Toney,Au'Diese Toney,Pittsburgh,Pitt,4,mpg,30.3333333333333
A. Walker,Anthony Walker,Miami,Miami,2,mpg,12.32
A. White,Andrien White,Wake Forest,Wake Forest,3,mpg,24.2903225806452
B. Beverly,Braxton Beverly,NC State,NC State,3,mpg,24.84375
B. Boeheim,Buddy Boeheim,Syracuse,Syracuse,1,mpg,35.5625
B. Childress,Brandon Childress,Wake Forest,Wake Forest,1,mpg,35.4333333333333
B. Key,Braxton Key,Virginia,UVA,4,mpg,33.5555555555556
B. Koprivica,Balsa Koprivica,Florida State,Florida State,2,mpg,10.2962962962963
B. Parham,Bubba Parham,Georgia Tech,Georgia Tech,3,mpg,26.3666666666667
B. Robinson,Brandon Robinson,North Carolina,UNC,1,mpg,30.1666666666667
B. Sidibe,Bourama Sidibe,Syracuse,Syracuse,2,mpg,23.96875
C. Anthony,Cole Anthony,North Carolina,UNC,1,mpg,35
C. Brown,Chaundee Brown,Wake Forest,Wake Forest,4,mpg,28.1739130434783
C. Felder,CJ Felder,Boston College,Boston College,2,mpg,20.4838709677419
C. Hunter,Chase Hunter,Clemson,Clemson,3,mpg,19.3333333333333
C. Keeling,Christian Keeling,North Carolina,UNC,3,mpg,18.84375
C. Lykes,Chris Lykes,Miami,Miami,1,mpg,30.0769230769231
C. Morsell,Casey Morsell,Virginia,UVA,3,mpg,21.7666666666667
C. Scott,Curran Scott,Clemson,Clemson,3,mpg,20.1290322580645
C. Stanley,Cassius Stanley,Duke,Duke,4,mpg,27.448275862069
C. Trapp,Clyde Trapp,Clemson,Clemson,3,mpg,25.6190476190476
C.J. Bryce,C.J. Bryce,NC State,NC State,4,mpg,33.6071428571429
D. Daniels,Devon Daniels,NC State,NC State,4,mpg,31.0625
D. Funderburk,DJ Funderburk,NC State,NC State,4,mpg,26.0333333333333
D. Gak,Deng Gak,Miami,Miami,2,mpg,12
D. Goodwin,Dane Goodwin,Notre Dame,Notre Dame,3,mpg,26.125
D. Johnson,David Johnson,Louisville,Louisville,3,mpg,16
D. Olejniczak,Dominik Olejniczak,Florida State,Florida State,2,mpg,10.6896551724138
D. Perry,Darius Perry,Louisville,Louisville,3,mpg,19.4838709677419
D. Sutton,Dwayne Sutton,Louisville,Louisville,4,mpg,31.4838709677419
D. Thornton,Derryck Thornton,Boston College,Boston College,1,mpg,31.448275862069
D. Vasiljevic,Dejan Vasiljevic,Miami,Miami,3,mpg,33.8387096774194
D. Vassell,Devin Vassell,Florida State,Florida State,4,mpg,28.7666666666667
E. Cole,Evan Cole,Georgia Tech,Georgia Tech,2,mpg,12.3846153846154
E. Hamilton,Eric Hamilton,Pittsburgh,Pitt,2,mpg,16.6333333333333
E. Hughes,Elijah Hughes,Syracuse,Syracuse,1,mpg,36.71875
G. Brooks,Garrison Brooks,North Carolina,UNC,4,mpg,35.0322580645161
H. Beverly,Harlond Beverly,Miami,Miami,3,mpg,19.9032258064516
H. Cattoor,Hunter Cattoor,Virginia Tech,Virginia Tech,3,mpg,20.2758620689655
H. Tyson,Hunter Tyson,Clemson,Clemson,3,mpg,13.5806451612903
I. Massoud,Ismael Massoud,Wake Forest,Wake Forest,3,mpg,12.2258064516129
I. Mucius,Isaiah Mucius,Wake Forest,Wake Forest,3,mpg,22.7666666666667
I. Wilkins,Isaiah Wilkins,Virginia Tech,Virginia Tech,3,mpg,14.2333333333333
I. Wong,Isaiah Wong,Miami,Miami,3,mpg,21.1612903225806
J. Alvarado,Jose Alvarado,Georgia Tech,Georgia Tech,1,mpg,33.4583333333333
J. Baehre,Jonathan Baehre,Clemson,Clemson,3,mpg,13.5
