team_name,shot_text,color,date,outcome,shooter,assisted,three_pt,x,y,game_id,cluster,opponent,opponent_score,team,team_score,win_loss,row_nbr,shot_id
Wake Forest,Brandon Childress missed Three Point Jumper.,#9E7E38,2019-11-06,missed,Brandon Childress,,TRUE,28,32.3777777777778,401168158,1,Boston College,77,Wake Forest,70,L,1,s1
Wake Forest,Isaiah Mucius made Jumper.,#9E7E38,2019-11-06,made,Isaiah Mucius,,FALSE,14,13.5777777777778,401168158,3,Boston College,77,Wake Forest,70,L,2,s2
Wake Forest,Chaundee Brown missed Jumper.,#9E7E38,2019-11-06,missed,Chaundee Brown,,FALSE,25,10.4444444444444,401168158,4,Boston College,77,Wake Forest,70,L,3,s3
Wake Forest,Isaiah Mucius made Three Point Jumper. Assisted by Brandon Childress.,#9E7E38,2019-11-06,made,Isaiah Mucius,Brandon Childress,TRUE,42,24.0222222222222,401168158,3,Boston College,77,Wake Forest,70,L,4,s4
Wake Forest,Brandon Childress missed Jumper.,#9E7E38,2019-11-06,missed,Brandon Childress,,FALSE,41,15.6666666666667,401168158,1,Boston College,77,Wake Forest,70,L,5,s5
Wake Forest,Olivier Sarr missed Jumper.,#9E7E38,2019-11-06,missed,Olivier Sarr,,FALSE,25,7.31111111111111,401168158,4,Boston College,77,Wake Forest,70,L,6,s6
Wake Forest,Olivier Sarr missed Jumper.,#9E7E38,2019-11-06,missed,Olivier Sarr,,FALSE,15,9.4,401168158,4,Boston College,77,Wake Forest,70,L,7,s7
Wake Forest,Chaundee Brown missed Three Point Jumper.,#9E7E38,2019-11-06,missed,Chaundee Brown,,TRUE,3,9.4,401168158,4,Boston College,77,Wake Forest,70,L,8,s8
Wake Forest,Ody Oguama made Layup. Assisted by Brandon Childress.,#9E7E38,2019-11-06,made,Ody Oguama,Brandon Childress,FALSE,26,6.26666666666667,401168158,2,Boston College,77,Wake Forest,70,L,9,s9
Wake Forest,Chaundee Brown missed Jumper.,#9E7E38,2019-11-06,missed,Chaundee Brown,,FALSE,26,14.6222222222222,401168158,4,Boston College,77,Wake Forest,70,L,10,s10
